,date,open,high,low,close,adj_close,Volume,r_pos_score,r_neu_score,r_neg_score,t_pos_score,t_neu_score,t_neg_score
305,2021-06-21,20.638241,20.776974,15.381439,15.769904,15.769904,2426849565.0,0.1158291249999999,0.852954125,0.0312249583333333,0.0667042085561497,0.9184876310160428,0.0148138342245989
306,2021-06-22,15.723164,16.935104,13.056847,14.652412,14.652412,3026165113.0,0.0554907494305239,0.9247299293849658,0.017504416856492,0.0494414494382022,0.9308684157303372,0.0196931348314606
307,2021-06-23,14.659879,16.801208,14.008465,16.14249,16.14249,2060945482.0,0.0322288978388998,0.9578811571709234,0.0098968742632612,0.046395270122783,0.940007821282401,0.013601272851296
308,2021-06-24,15.810255,16.594536,14.753929,16.253658,16.253658,1163182954.0,0.0886454444444444,0.884438037037037,0.0231972962962963,0.0574456854663774,0.9297558806941432,0.0127970954446854
309,2021-06-25,16.232014,16.721203,14.467696,14.467696,14.467696,1273917013.0,0.0748511872659176,0.9149073670411983,0.0102369550561797,0.0732658305084745,0.916708627118644,0.0100327796610169
310,2021-06-26,14.441859,14.991236,13.645801,14.499612,14.499612,1135392300.0,0.0564153167028199,0.934582344902386,0.0090053383947939,0.0607526778523489,0.9300323199105144,0.0092202393736017
311,2021-06-27,14.519034,15.040333,14.064211,15.015594,15.015594,982313261.0,0.034941,0.948941,0.0116876666666666,0.048028027027027,0.936121393120393,0.0158830638820638
312,2021-06-28,15.035586,16.03286,14.682418,15.740378,15.740378,1109200887.0,0.0457043248081841,0.9336403861892584,0.015545757033248,0.0565235225225225,0.9273583573573574,0.0161241231231231
313,2021-06-29,15.776033,17.03167,15.738138,16.25337,16.25337,1342798978.0,0.0905428719211822,0.8762276009852217,0.0332276009852216,0.0585511222493887,0.930084129584352,0.0113677481662591
314,2021-06-30,16.307409,16.622644,15.105,16.402195,16.402195,1208316036.0,0.1003565555555555,0.8584121111111112,0.0356565555555555,0.0434795992217898,0.945067147859922,0.0114581984435797
315,2021-07-01,16.414341,16.414341,14.895052,15.278964,15.278964,883647161.0,0.0740646042402826,0.9006547102473498,0.0217536501766784,0.0475454191343963,0.941504416856492,0.0109554419134396
316,2021-07-02,15.219061,15.469187,14.675115,15.340774,15.340774,753194773.0,0.1175618465608465,0.8517734867724868,0.0254031164021164,0.0468503150684931,0.938759904109589,0.0143982602739726
317,2021-07-03,15.321934,15.776978,15.068263,15.553716,15.553716,711235057.0,0.1289048461538461,0.8377990769230769,0.0285058076923076,0.0409139411764705,0.9470339411764706,0.0120433529411764
318,2021-07-04,15.553584,16.579445,15.221813,16.014027,16.014027,752075893.0,0.0959520489510489,0.8661968041958041,0.0308681328671328,0.0501395869565217,0.9359330652173912,0.0139303478260869
319,2021-07-05,15.99654,15.99654,14.78874,15.235582,15.235582,844844586.0,0.0985802682926829,0.8736961219512194,0.0277449024390243,0.0528958948948948,0.9372592582582582,0.0098568558558558
320,2021-07-06,15.240785,16.162344,15.21081,16.143564,16.143564,1001573398.0,0.100942605839416,0.8804608540145985,0.0185995401459854,0.0471121111111111,0.9414506124031008,0.0114480284237726
321,2021-07-07,16.136374,17.674274,16.101461,16.85779,16.85779,1424247756.0,0.0913191818181818,0.8926893116883117,0.0160074935064935,0.0602283838630806,0.9267491662591688,0.0130327848410757
322,2021-07-08,16.877674,16.879568,15.005345,15.337748,15.337748,1116757295.0,0.1179895057471264,0.8453860574712644,0.0366676666666666,0.0465020940919037,0.9466837133479212,0.0068128161925601
323,2021-07-09,15.310519,15.901407,14.853454,15.669269,15.669269,822381786.0,0.1050469770114942,0.8629665172413793,0.032001,0.0513964659949622,0.930199992443325,0.0184166171284634
324,2021-07-10,15.681146,15.98207,15.080467,15.290839,15.290839,664082424.0,0.0953343333333333,0.8766284509803922,0.0214911960784313,0.044437923076923,0.9415517692307692,0.0140163846153846
